      0		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      1		idle		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
      2		reset		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		xxxx		
    155		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1100		
    156		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1101		
    157		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1110		
    158		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1000		1111		
    159		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0000		
    160		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0001		
    161		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0010		
    162		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0011		
    163		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0100		
    164		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0101		
    165		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0110		
    166		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		0111		
    167		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1000		
    168		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1001		
    169		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1010		
    170		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1011		
    171		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1100		
    172		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1101		
    173		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1110		
    174		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1001		1111		
    175		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0000		
    176		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0001		
    177		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0010		
    178		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0011		
    179		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0100		
    180		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0101		
    181		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0110		
    182		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		0111		
    183		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1000		
    184		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1001		
    185		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1010		
    186		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1011		
    187		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1100		
    188		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1101		
    189		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1110		
    190		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1010		1111		
    191		increment[ 0]	0000		0000		0000		0000		0000		0000		0000		0000		1011		0000		
